Complaints: 503 rows
complaint_id,vin,customer_name,dealer_code,dealer_name,complaint_date,description,category,subcategory,ai_category,ai_subcategory,ai_confidence,severity,status,model,variant,manufacturing_date,created_at
1,MATNXN36462IN,Pooja Gupta,D008,Tata Motors Gurgaon,2025-10-13,paint bubbling observed near wheel arch,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.80,High,In Progress,Nexon,EV XZ+,2025-02-09,2026-03-13T06:49:42.845-04:00
2,MATPNM77653IN,Divya Iyer,D015,Tata Motors Jayanagar,2026-01-01,door hinge squeaking when opening passenger door,NVH,Squeaking,NVH,Squeaking,0.93,Medium,In Progress,Tiago,EV XZ+,2025-11-29,2026-03-13T06:49:43.095-04:00
3,MATSFL46671IN,Pooja Chatterjee,D010,Tata Motors OMR,2025-11-16,reverse camera display goes blank randomly,Electrical,Wiring Issue,Electrical,Wiring Issue,0.96,Medium,Resolved,Harrier,XZ,2025-01-16,2026-03-13T06:49:43.333-04:00
4,MATPNM78219IN,Rekha Sinha,D019,Tata Motors Jubilee Hills,2026-01-13,ABS activating unnecessarily on dry road at low speed,Brakes,ABS Issue,Brakes,ABS Issue,0.83,Medium,Open,Tiago,XZ,2025-10-24,2026-03-13T06:49:43.572-04:00
5,MATNXK95322IN,Gaurav Iyer,D024,Tata Motors Howrah,2025-10-28,screen going black randomly while using navigation,Infotainment,Screen Issue,Infotainment,Screen Issue,0.92,Low,Resolved,Harrier,XZ,2025-05-26,2026-03-13T06:49:43.811-04:00
6,MATHRL78113IN,Nisha Yadav,D036,Tata Motors Panchkula,2025-10-19,rattling noise near AC vent on bumpy roads,NVH,Rattling Noise,NVH,Rattling Noise,0.86,Low,Closed,Harrier,XZ,2025-04-11,2026-03-13T06:49:44.051-04:00
7,MATTGM61744IN,Sneha Pandey,D030,Tata Motors Gomti Nagar,2026-02-06,uneven cooling between driver and passenger side,AC System,Cooling Issue,AC System,Cooling Issue,0.87,Medium,In Progress,Harrier,XZ,2025-04-22,2026-03-13T06:49:44.291-04:00
8,MATTGN25566IN,Divya Singh,D008,Tata Motors Gurgaon,2026-03-11,steering feels off-centre when driving straight,Steering,Alignment,Steering,Alignment,0.99,High,Closed,Harrier,XM,2025-12-13,2026-03-13T06:49:44.531-04:00
9,MATNXM81766IN,Deepa Pillai,D019,Tata Motors Jubilee Hills,2025-10-04,gear getting stuck in reverse occasionally,Transmission,Gear Issue,Body & Paint,Water Leak,0.63,High,Open,Punch,Adventure,2025-04-05,2026-03-13T06:49:44.771-04:00
10,MATHRN21706IN,Prakash Kumar,D011,Tata Motors Adyar,2025-12-25,brake pedal squeak during light braking,NVH,Squeaking,NVH,Squeaking,0.80,Medium,Closed,Tiago,EV XZ+,2025-07-26,2026-03-13T06:49:45.010-04:00
11,MATNXK91094IN,Sunita Mishra,D006,Tata Motors Dwarka,2025-10-26,AC compressor making clicking sound when engaged,AC System,Cooling Issue,AC System,Odor,0.55,Medium,Closed,Punch,Pure,2025-06-16,2026-03-13T06:49:45.251-04:00
12,MATPNN15896IN,Vikram Yadav,D034,Tata Motors Palasia,2026-02-23,brake pedal feels spongy after 500km of driving,Brakes,Pedal Feel,Brakes,Pedal Feel,0.90,Low,Open,Punch,Pure,2025-03-07,2026-03-13T06:49:45.501-04:00
