Deliveries: 700 rows
delivery_id,vin,customer_name,customer_phone,dealer_code,dealer_name,delivery_date,delivery_officer,odometer_reading,fuel_level,model,variant,epod_signed,customer_remarks,inspection_id,created_at
1,MATNXN36462IN,Komal Mukherjee,+917389321077,D001,Tata Motors Andheri,2026-03-13,Manish Sethi,15,Full,Safari,XZ,true,,1,2026-03-13T06:54:58.111-04:00
2,MATPNM77653IN,Karthik Tiwari,+917562735040,D031,Tata Motors Sadar,2026-03-13,Sameer Khanna,24,Full,Punch,Creative,true,,2,2026-03-13T06:54:58.357-04:00
3,MATSFL46671IN,Ashok Agarwal,+918033961504,D017,Tata Motors Hinjawadi,2026-03-13,Abhishek Pandey,16,3/4,Tiago,XZ+,true,Very happy with the vehicle condition,3,2026-03-13T06:54:58.591-04:00
4,MATPNM78219IN,Rajesh Verma,+917950436673,D010,Tata Motors OMR,2026-03-13,Nikhil Desai,27,Full,Safari,XZ+,false,,4,2026-03-13T06:54:58.825-04:00
5,MATNXK95322IN,Manoj Banerjee,+917673843617,D009,Tata Motors Anna Nagar,2026-03-13,Kunal Trivedi,7,Full,Nexon,EV Max XZ+ Lux,true,Delivery process was smooth and professional,5,2026-03-13T06:54:59.059-04:00
6,MATHRL78113IN,Neha Reddy,+917193631153,D029,Tata Motors Aliganj,2026-03-13,Rohit Bhardwaj,11,Full,Harrier,XM,true,Documentation was delayed by 30 minutes,6,2026-03-13T06:54:59.293-04:00
7,MATTGM61744IN,Kavita Gupta,+918604908170,D010,Tata Motors OMR,2026-03-13,Abhishek Pandey,19,Full,Nexon,XZ,true,Documentation was delayed by 30 minutes,7,2026-03-13T06:54:59.527-04:00
8,MATTGN25566IN,Rajesh Patel,+919775097146,D008,Tata Motors Gurgaon,2026-03-13,Sameer Khanna,16,Full,Tiago,XM,true,Requested additional floor mats,8,2026-03-13T06:54:59.763-04:00
9,MATNXM81766IN,Gaurav Reddy,+917791158158,D012,Tata Motors Whitefield,2026-03-13,Pankaj Dubey,29,Full,Punch,Pure,true,AC not cooling well - dealer scheduled follow-up,9,2026-03-13T06:54:59.998-04:00
10,MATHRN21706IN,Vikram Bhat,+918582550355,D027,Tata Motors Civil Lines,2026-03-13,Pankaj Dubey,43,Full,Nexon,EV XZ+,true,Documentation was delayed by 30 minutes,10,2026-03-13T06:55:00.232-04:00
11,MATNXK91094IN,Deepa Joshi,+917002020640,D007,Tata Motors Noida,2026-03-13,Tarun Kaushik,27,Full,Nexon,XZ,false,,11,2026-03-13T06:55:00.466-04:00
12,MATPNN15896IN,Manoj Kumar,+918653866299,D026,Tata Motors SG Highway,2026-03-13,Manish Sethi,34,3/4,Nexon,XZ+,true,,12,2026-03-13T06:55:00.700-04:00
13,MATHRM17667IN,Divya Verma,+918243931203,D033,Tata Motors MG Road,2026-03-13,Manish Sethi,23,3/4,Harrier,XZ+ Dark,true,AC not cooling well - dealer scheduled follow-up,13,2026-03-13T06:55:00.938-04:00
14,MATSFN51724IN,Komal Menon,+918515022943,D003,Tata Motors Powai,2026-03-12,Arjun Nambiar,44,Full,Punch,Creative,true,,14,2026-03-13T06:55:01.172-04:00
15,MATPNN10131IN,Vivek Desai,+918837851710,D025,Tata Motors Ashram Road,2026-03-13,Rohit Bhardwaj,32,Full,Safari,XM,true,Excellent handover experience,15,2026-03-13T06:55:01.407-04:00
16,MATTGK49405IN,Rohit Kumar,+917536963767,D010,Tata Motors OMR,2026-03-13,Sameer Khanna,41,Full,Safari,XE,true,AC not cooling well - dealer scheduled follow-up,16,2026-03-13T06:55:01.641-04:00
17,MATSFM96805IN,Nitin Desai,+919351236804,D018,Tata Motors Baner,2026-03-13,Sameer Khanna,31,Full,Safari,XZ+,true,Documentation was delayed by 30 minutes,17,2026-03-13T06:55:01.876-04:00
18,MATTGN98029IN,Deepa Reddy,+918056160289,D004,Tata Motors Navi Mumbai,2026-03-12,Varun Mishra,12,Full,Nexon,XZ+ Lux,true,Excellent handover experience,18,2026-03-13T06:55:02.110-04:00
19,MATHRM90405IN,Priya Verma,+919702391374,D006,Tata Motors Dwarka,2026-03-13,Manish Sethi,45,Full,Punch,Creative,true,,19,2026-03-13T06:55:02.344-04:00
20,MATHRL35397IN,Arun Agarwal,+919088618501,D027,Tata Motors Civil Lines,2026-03-12,Varun Mishra,39,Full,Nexon,XZ,true,,20,2026-03-13T06:55:02.578-04:00
21,MATSFN99151IN,Bhavna Malhotra,+918221848984,D006,Tata Motors Dwarka,2026-03-13,Kunal Trivedi,28,Full,Safari,XE,true,,21,2026-03-13T06:55:02.813-04:00
22,MATHRM53152IN,Sanjay Pandey,+917653788102,D007,Tata Motors Noida,2026-03-11,Abhishek Pandey,24,Full,Punch,Pure,true,AC not cooling well - dealer scheduled follow-up,22,2026-03-13T06:55:03.049-04:00
23,MATTGN22539IN,Rekha Tiwari,+918445909567,D022,Tata Motors Salt Lake,2026-03-12,Arjun Nambiar,41,Full,Safari,XM,true,AC not cooling well - dealer scheduled follow-up,23,2026-03-13T06:55:03.282-04:00
24,MATHRK96471IN,Kavita Chopra,+919994843857,D033,Tata Motors MG Road,2026-03-12,Varun Mishra,18,Full,Harrier,XZ+,true,Documentation was delayed by 30 minutes,24,2026-03-13T06:55:03.516-04:00
25,MATSFN65182IN,Harsh Pandey,+918632511984,D040,Tata Motors Vizag CBD,2026-03-13,Rohit Bhardwaj,44,Full,Safari,XM,false,All accessories installed as promised,25,2026-03-13T06:55:03.752-04:00
26,MATSFL77853IN,Ravi Singh,+919108351155,D022,Tata Motors Salt Lake,2026-03-13,Kunal Trivedi,17,3/4,Safari,XM,true,Delivery process was smooth and professional,26,2026-03-13T06:55:03.987-04:00
27,MATTGM90753IN,Vikram Yadav,+918463841712,D009,Tata Motors Anna Nagar,2026-03-13,Arjun Nambiar,38,Full,Nexon,XZ+ Lux,true,Minor scratch noticed on door - dealer promised touch-up,27,2026-03-13T06:55:04.223-04:00
28,MATNXK13934IN,Priya Tiwari,+918665739683,D021,Tata Motors Hitech City,2026-03-13,Pankaj Dubey,15,Full,Punch,EV Adventure,true,,28,2026-03-13T06:55:04.457-04:00
29,MATNXK44313IN,Vivek Pandey,+917946305779,D010,Tata Motors OMR,2026-03-12,Pankaj Dubey,9,3/4,Nexon,XM,true,Minor scratch noticed on door - dealer promised touch-up,29,2026-03-13T06:55:04.692-04:00
